country,iso3_code,indicator_code,indicator_name,observation_year,reference_period,value_percent_population,unit,source_organization,source_api_url,source_glossary_url,retrieval_date,methodology,notes
"United Arab Emirates","ARE","IT.NET.USER.ZS","Individuals using the Internet (% of population)","2024","Calendar year 2024",100,"% of population","World Bank World Development Indicators; underlying source: International Telecommunication Union","https://api.worldbank.org/v2/country/ARE;AUS;CAN;DEU;GBR;KWT;QAT;SAU;USA/indicator/IT.NET.USER.ZS?format=json&date=2024:2025&per_page=1000","https://databank.worldbank.org/metadataglossary/world-development-indicators/series/IT.NET.USER.ZS","2026-07-15","Individuals who used the Internet from any location in the last three months, expressed as a percentage of the population.","This indicator does not measure household broadband availability, device access or quality, connection quality, affordability, digital skills, or demand for online learning."
"Australia","AUS","IT.NET.USER.ZS","Individuals using the Internet (% of population)","2024","Calendar year 2024",96.13140106,"% of population","World Bank World Development Indicators; underlying source: International Telecommunication Union","https://api.worldbank.org/v2/country/ARE;AUS;CAN;DEU;GBR;KWT;QAT;SAU;USA/indicator/IT.NET.USER.ZS?format=json&date=2024:2025&per_page=1000","https://databank.worldbank.org/metadataglossary/world-development-indicators/series/IT.NET.USER.ZS","2026-07-15","Individuals who used the Internet from any location in the last three months, expressed as a percentage of the population.","This indicator does not measure household broadband availability, device access or quality, connection quality, affordability, digital skills, or demand for online learning."
"Canada","CAN","IT.NET.USER.ZS","Individuals using the Internet (% of population)","2024","Calendar year 2024",94.353302,"% of population","World Bank World Development Indicators; underlying source: International Telecommunication Union","https://api.worldbank.org/v2/country/ARE;AUS;CAN;DEU;GBR;KWT;QAT;SAU;USA/indicator/IT.NET.USER.ZS?format=json&date=2024:2025&per_page=1000","https://databank.worldbank.org/metadataglossary/world-development-indicators/series/IT.NET.USER.ZS","2026-07-15","Individuals who used the Internet from any location in the last three months, expressed as a percentage of the population.","This indicator does not measure household broadband availability, device access or quality, connection quality, affordability, digital skills, or demand for online learning."
"Germany","DEU","IT.NET.USER.ZS","Individuals using the Internet (% of population)","2024","Calendar year 2024",93.49999579,"% of population","World Bank World Development Indicators; underlying source: International Telecommunication Union","https://api.worldbank.org/v2/country/ARE;AUS;CAN;DEU;GBR;KWT;QAT;SAU;USA/indicator/IT.NET.USER.ZS?format=json&date=2024:2025&per_page=1000","https://databank.worldbank.org/metadataglossary/world-development-indicators/series/IT.NET.USER.ZS","2026-07-15","Individuals who used the Internet from any location in the last three months, expressed as a percentage of the population.","This indicator does not measure household broadband availability, device access or quality, connection quality, affordability, digital skills, or demand for online learning."
"United Kingdom","GBR","IT.NET.USER.ZS","Individuals using the Internet (% of population)","2024","Calendar year 2024",95.4720993,"% of population","World Bank World Development Indicators; underlying source: International Telecommunication Union","https://api.worldbank.org/v2/country/ARE;AUS;CAN;DEU;GBR;KWT;QAT;SAU;USA/indicator/IT.NET.USER.ZS?format=json&date=2024:2025&per_page=1000","https://databank.worldbank.org/metadataglossary/world-development-indicators/series/IT.NET.USER.ZS","2026-07-15","Individuals who used the Internet from any location in the last three months, expressed as a percentage of the population.","This indicator does not measure household broadband availability, device access or quality, connection quality, affordability, digital skills, or demand for online learning."
"Kuwait","KWT","IT.NET.USER.ZS","Individuals using the Internet (% of population)","2025","Calendar year 2025",100,"% of population","World Bank World Development Indicators; underlying source: International Telecommunication Union","https://api.worldbank.org/v2/country/ARE;AUS;CAN;DEU;GBR;KWT;QAT;SAU;USA/indicator/IT.NET.USER.ZS?format=json&date=2024:2025&per_page=1000","https://databank.worldbank.org/metadataglossary/world-development-indicators/series/IT.NET.USER.ZS","2026-07-15","Individuals who used the Internet from any location in the last three months, expressed as a percentage of the population.","This indicator does not measure household broadband availability, device access or quality, connection quality, affordability, digital skills, or demand for online learning."
"Qatar","QAT","IT.NET.USER.ZS","Individuals using the Internet (% of population)","2024","Calendar year 2024",98.08540344,"% of population","World Bank World Development Indicators; underlying source: International Telecommunication Union","https://api.worldbank.org/v2/country/ARE;AUS;CAN;DEU;GBR;KWT;QAT;SAU;USA/indicator/IT.NET.USER.ZS?format=json&date=2024:2025&per_page=1000","https://databank.worldbank.org/metadataglossary/world-development-indicators/series/IT.NET.USER.ZS","2026-07-15","Individuals who used the Internet from any location in the last three months, expressed as a percentage of the population.","This indicator does not measure household broadband availability, device access or quality, connection quality, affordability, digital skills, or demand for online learning."
"Saudi Arabia","SAU","IT.NET.USER.ZS","Individuals using the Internet (% of population)","2024","Calendar year 2024",100,"% of population","World Bank World Development Indicators; underlying source: International Telecommunication Union","https://api.worldbank.org/v2/country/ARE;AUS;CAN;DEU;GBR;KWT;QAT;SAU;USA/indicator/IT.NET.USER.ZS?format=json&date=2024:2025&per_page=1000","https://databank.worldbank.org/metadataglossary/world-development-indicators/series/IT.NET.USER.ZS","2026-07-15","Individuals who used the Internet from any location in the last three months, expressed as a percentage of the population.","This indicator does not measure household broadband availability, device access or quality, connection quality, affordability, digital skills, or demand for online learning."
"United States","USA","IT.NET.USER.ZS","Individuals using the Internet (% of population)","2024","Calendar year 2024",94.69380188,"% of population","World Bank World Development Indicators; underlying source: International Telecommunication Union","https://api.worldbank.org/v2/country/ARE;AUS;CAN;DEU;GBR;KWT;QAT;SAU;USA/indicator/IT.NET.USER.ZS?format=json&date=2024:2025&per_page=1000","https://databank.worldbank.org/metadataglossary/world-development-indicators/series/IT.NET.USER.ZS","2026-07-15","Individuals who used the Internet from any location in the last three months, expressed as a percentage of the population.","This indicator does not measure household broadband availability, device access or quality, connection quality, affordability, digital skills, or demand for online learning."
